,SKU,Type,Description,Cost,Quantity (g),Vegan/Non-Vegan,Gluten-Free/Non-Gluten-Free
0,Great Value Whole Milk,Dairy - Milk,"Great Value Whole Milk is a rich and creamy dairy product that is produced from high-quality, Grade-A milk. This wholesome and nutritious milk is a great source of calcium and essential nutrients. Perfect for enjoying on its own, adding to recipes, or incorporating into your morning cereal, Great Value Whole Milk is a delicious and versatile choice for all your dairy needs.",$1.61,524,Non-Vegan,Gluten-Free
1,Horizon Organic Milk,Dairy - Milk,"Horizon Organic Milk is a delicious and nutritious dairy product made from the highest quality, organic ingredients. Our milk is sourced from happy, healthy cows that are raised on organic pastures, free from synthetic hormones and pesticides. With a creamy texture and wholesome taste, Horizon Organic Milk is a great choice for anyone looking for a sustainably produced, organic dairy option. Enjoy it on its own, in your morning cereal, or as a key ingredient in your favorite recipes.",$3.72,358,Vegan,Non-Gluten-Free
2,Silk Almond Milk,Dairy - Milk,"Silk Almond Milk is a delicious and nutritious non-dairy milk alternative made from wholesome almonds. It is creamy, smooth, and rich in flavor, perfect for drinking on its own, pouring over cereal, or adding to recipes. This plant-based milk is a great source of calcium, vitamin D, and vitamin E, making it an excellent choice for anyone looking to incorporate more plant-based options into their diet. With no added sugar and only 60 calories per serving, Silk Almond Milk is a guilt-free way to enjoy the creamy goodness of milk without the dairy.",$1.46,556,Vegan,Gluten-Free
3,Fairlife Ultra-Filtered Milk,Dairy - Milk,"Fairlife Ultra-Filtered Milk is a premium dairy product that is high in protein and calcium, with a rich and creamy taste. Using an innovative filtration process, Fairlife removes lactose and focuses on delivering more of the natural goodness found in milk, making it an excellent choice for those looking for a nutritious and delicious milk option. Whether enjoyed on its own or used in cooking and baking, Fairlife Ultra-Filtered Milk is a top-quality choice for those seeking a superior milk experience.",$1.75,870,Vegan,Non-Gluten-Free
4,Organic Valley 2% Milk,Dairy - Milk,"Organic Valley 2% Milk is a delicious and nutritious dairy product that is perfect for those looking for a healthier option. Made with organic, non-GMO milk from pasture-raised cows, it has a rich and creamy flavor with just the right amount of fat. This milk is great for drinking on its own, adding to cereal, or using in recipes. Plus, it's produced in a sustainable and environmentally friendly manner, making it a great choice for both your health and the planet.",$3.79,767,Vegan,Gluten-Free
5,Hood 1% Milk,Dairy - Milk,"Hood 1% Milk is a low-fat, high-quality dairy product that is perfect for those looking for a lighter milk option. It is rich and creamy, with a smooth texture that is perfect for drinking on its own, adding to cereal, or incorporating into your favorite recipes. With just 1% fat, it is a healthier choice without sacrificing taste. Enjoy the goodness of Hood 1% Milk in every glass.",$4.80,623,Non-Vegan,Non-Gluten-Free
6,Promised Land Midnight Chocolate Milk,Dairy - Milk,"Indulge in the rich and creamy taste of Promised Land Midnight Chocolate Milk. Made with the finest cocoa and fresh, high-quality milk, this decadent beverage is perfect for satisfying your sweet tooth. Whether enjoyed on its own or used as a delicious addition to your favorite recipes, Promised Land Midnight Chocolate Milk promises to be an irresistible treat for all chocolate lovers.",$2.57,835,Non-Vegan,Non-Gluten-Free
7,TruMoo Strawberry Milk,Dairy - Milk,"TruMoo Strawberry Milk is a delicious and creamy dairy milk product infused with the vibrant flavor of fresh strawberries. Made with high-quality, wholesome ingredients, it is a perfect blend of rich, nutritious milk and sweet, fruity strawberry taste. Enjoyed by kids and adults alike, TruMoo Strawberry Milk is a delightful and refreshing beverage choice for any time of day.",$2.95,101,Non-Vegan,Gluten-Free
8,Darigold Lactose-Free 2% Milk,Dairy - Milk,"Darigold Lactose-Free 2% Milk is a delicious and nutritious dairy option for those who are lactose intolerant or simply looking for a lactose-free alternative. This smooth and creamy milk is packed with essential nutrients and has all the goodness of regular milk without the discomfort of lactose. Enjoy it in your morning cereal, coffee, or as a refreshing drink on its own.",$2.80,281,Vegan,Gluten-Free
9,Lactaid Whole Milk,Dairy - Milk,"Lactaid Whole Milk is a delicious and nutritious milk product that is perfect for those with lactose intolerance. Made with real, high-quality whole milk, it is rich, creamy, and packed with essential nutrients like calcium and vitamin D. Lactaid Whole Milk is also lactose-free, making it easy to digest and gentle on the stomach. Enjoy the classic taste of whole milk without any discomfort with Lactaid Whole Milk.",$2.66,671,Non-Vegan,Non-Gluten-Free
10,Kraft Singles,Dairy - Cheese,"Kraft Singles is a classic American cheese product known for its smooth and creamy texture. This individually wrapped, sliced cheese is perfect for making grilled cheese sandwiches, topping burgers, or simply enjoyed on its own. Made with natural cheese and no artificial flavors, Kraft Singles is a convenient and delicious addition to any meal.",$2.84,702,Vegan,Gluten-Free
11,Tillamook Cheddar,Dairy - Cheese,"Tillamook Cheddar is a premium cheese made from high-quality, locally-sourced dairy. It has a rich, creamy texture and a sharp, tangy flavor that makes it perfect for snacking, cooking, or adding to your favorite dishes. Sourced from the fertile lands of the Pacific Northwest, Tillamook Cheddar is known for its superior taste and quality, making it a favorite among cheese lovers everywhere.",$3.12,160,Non-Vegan,Non-Gluten-Free
12,Sargento String Cheese,Dairy - Cheese,"Sargento String Cheese is a delicious and wholesome snack made from high-quality, natural cheese. Each individually wrapped stick of string cheese is a good source of calcium and protein, making it an ideal on-the-go snack for both kids and adults. With its smooth and creamy texture, Sargento String Cheese is perfect for enjoying as a quick and satisfying snack at any time of the day.",$4.70,611,Vegan,Non-Gluten-Free
13,Philadelphia Cream Cheese,Dairy - Cheese,"Philadelphia Cream Cheese is a rich and creamy dairy product that has been a staple in households for generations. Made from fresh milk and cream, it has a smooth texture and a deliciously mild flavor. This versatile cheese can be used in a wide variety of recipes, from cheesecakes and dips to creamy pasta dishes. Whether spread on a bagel or used as a key ingredient in your favorite dish, Philadelphia Cream Cheese adds a decadent touch to any meal.",$2.21,764,Non-Vegan,Non-Gluten-Free
14,Cracker Barrel Extra Sharp Cheddar,Dairy - Cheese,"Cracker Barrel Extra Sharp Cheddar is a rich and bold cheese with a sharp and robust flavor. Made from high-quality dairy, this cheese has been aged for an extended period to develop its intense taste and smooth texture. Perfect for adding a burst of flavor to any dish or enjoying on its own with a glass of wine.",$1.31,430,Non-Vegan,Gluten-Free
15,Babybel Mini Cheese,Dairy - Cheese,"""Babybel Mini Cheese is a delicious and convenient snack-sized cheese that is perfect for on-the-go. Made from high-quality dairy, each bite-sized cheese is individually wrapped for freshness and is sure to satisfy your cheese cravings. With its smooth and creamy texture, Babybel Mini Cheese is a favorite among both kids and adults alike.""",$2.60,425,Vegan,Gluten-Free
16,Frigo Cheese Heads,Dairy - Cheese,"Frigo Cheese Heads are delicious, convenient cheese snacks perfect for on-the-go. Made with high-quality, real cheese, these individually wrapped snacks are great for packed lunches, snacking, or as a protein-packed pick-me-up. With a variety of flavors and types available, there's a Frigo Cheese Head for every cheese lover.",$4.62,601,Vegan,Non-Gluten-Free
17,Athenos Feta Cheese,Dairy - Cheese,"Athenos Feta Cheese is a crumbly and tangy cheese made from high-quality ingredients. This traditional Greek cheese is perfect for adding a rich and savory flavor to salads, pastas, and sandwiches. Made with the perfect blend of creamy and salty notes, Athenos Feta Cheese is a versatile and delicious addition to any dish.",$2.92,566,Vegan,Gluten-Free
18,Laughing Cow Cheese,Dairy - Cheese,"Laughing Cow Cheese is a creamy and flavorful cheese that is perfect for snacking and cooking. It is made from the finest quality milk and aged to perfection, featuring a smooth and mild taste that is loved by cheese enthusiasts of all ages. This versatile and spreadable cheese is a great addition to any charcuterie board, sandwich, or recipe, and is sure to add a touch of indulgence to any meal.",$4.39,187,Vegan,Non-Gluten-Free
19,Cabot Pepper Jack Cheese,Dairy - Cheese,"Cabot Pepper Jack Cheese is a spicy and flavorful cheese that combines the creamy goodness of traditional pepper jack with the high-quality, natural ingredients of Cabot Cheese. This semi-soft cheese is infused with a blend of spicy peppers, giving it a distinctive and zesty kick. It is perfect for adding a spicy twist to your favorite recipes or simply enjoying as a delicious snack.",$4.70,598,Vegan,Non-Gluten-Free
20,Chobani Greek Yogurt,Dairy - Yogurt,"Chobani Greek Yogurt is a creamy and delicious yogurt made with high-quality, natural ingredients. It is crafted using traditional Greek methods for a thick and rich texture, and is packed with protein and probiotics for a nutritious and satisfying snack. Available in a variety of flavors, Chobani Greek Yogurt is a versatile and healthy choice for any time of day.",$1.53,577,Vegan,Non-Gluten-Free
21,Dannon Oikos Triple Zero Yogurt,Dairy - Yogurt,"Dannon Oikos Triple Zero Yogurt is a delicious and creamy Greek yogurt that is free of added sugars, artificial sweeteners, and fat. Packed with 15g of protein and 0% fat, this yogurt is a guilt-free and satisfying snack option. With a variety of flavors to choose from, it's the perfect choice for anyone looking for a healthy and delicious yogurt option.",$2.96,761,Vegan,Gluten-Free
22,Yoplait Original Yogurt,Dairy - Yogurt,"Yoplait Original Yogurt is a creamy and delicious dairy yogurt made with high-quality ingredients. It comes in a variety of flavors and provides a rich and satisfying snack or breakfast option. With its smooth texture and delightful taste, Yoplait Original Yogurt is perfect for enjoying on its own or as a versatile ingredient in your favorite recipes. Made with live and active cultures, Yoplait Original Yogurt is a wholesome choice for a nutritious and delicious treat.",$3.38,667,Vegan,Non-Gluten-Free
23,Fage Total 0% Greek Yogurt,Dairy - Yogurt,"Fage Total 0% Greek Yogurt is a creamy and tangy yogurt made from the finest quality milk. With 0% fat and a rich, thick texture, this yogurt is a delicious and healthy option for anyone looking to enjoy the authentic taste of Greek yogurt. Packed with protein and probiotics, Fage Total 0% Greek Yogurt is the perfect choice for a nutritious and satisfying snack or ingredient in your favorite recipes.",$4.03,847,Non-Vegan,Gluten-Free
24,Siggi's Skyr Yogurt,Dairy - Yogurt,"Siggi's Skyr Yogurt is a rich and creamy dairy yogurt made with simple ingredients and traditional Icelandic methods. This wholesome and delicious yogurt is high in protein, with a thick and velvety texture that is sure to satisfy your taste buds. Perfect for a quick and satisfying breakfast or a healthy snack throughout the day.",$3.43,649,Vegan,Non-Gluten-Free
25,Stonyfield Organic Yogurt,Dairy - Yogurt,"Stonyfield Organic Yogurt is a delicious and nutritious yogurt made with high-quality organic ingredients. This creamy and smooth yogurt is filled with probiotics and made without the use of artificial hormones, pesticides, or GMOs. Each spoonful is packed with wholesome goodness and a satisfying taste that will leave you coming back for more. Choose Stonyfield Organic Yogurt for a wholesome and flavorful choice in the dairy aisle.",$3.60,924,Non-Vegan,Gluten-Free
26,Activia Probiotic Yogurt,Dairy - Yogurt,"Activia Probiotic Yogurt is a delicious and creamy yogurt that contains live and active probiotic cultures to promote gut health and digestion. Packed with a rich and tangy flavor, this yogurt is a nutritious and convenient snack option for those looking to support their digestive health. Enjoy the benefits of probiotics in every spoonful with Activia Probiotic Yogurt.",$3.60,661,Non-Vegan,Non-Gluten-Free
