name,family,title,description
Golden-Delicious,Apple,Apple Golden Delicious Class 1,Country and volume: Italy; ca 180g Description: Golden Delicious has a white juicy pulp and a greenish yellow shell. The taste is mellow and sweet; making Golden Delicious suitable for desserts.
Granny-Smith,Apple,Apple Granny Smith Class 1,Country and volume: Italy; ca 180g Description: Granny Smith is a green apple with white; firm pulp and a clear acidity in the flavor.
Pink-Lady,Apple,Apple Pink Lady Klass 1,Country and volume: Italy; ca 180g Description: Pink Lady reminds of Royal Gala; though it is an even sweeter and crispier apple.
Red-Delicious,Apple,Apple Red Delicious Klass 1,Country and volume: Italy; ca 160g Description: Red Delicious is a dark red apple with relatively soft pulp and sweet taste.
Royal-Gala,Apple,Apple Royal Gala Klass 1,Country and volume: Argentina; ca 180g Description: Royal Gala is a crispy and very juicy apple; with yellow-white pulp. The peel is thin with a red yellow speckled color.
Avocado,Avocado,Avocado Class 1,Country: Peru Description: Avocado is a fruit with a clear core in the middle. The pulp is light yellow and the peel may vary from light green to dark green; almost black. Avocado fits for starters; salads and as an ingredient in Guacamole.s
Banana,Banana,Banana Ecological Class 1,Country and volume: Ecuador; ca 180g Description: An ecologically grown banana. Bananas are good as snacks. The banana is temperature sensitive; very sensitive to dehydration; ethylene and cold damage. Store in room temperature or cool; never in a refrigerator.
Kiwi,Kiwi,Kiwi Class 1,Country: Italy Description: Kiwi; or Chinese currants; as it is also called; has a sweet taste with clear acidity. The fruit is rich in vitamin C.
Lemon,Lemon,Lemon Class 1,Country: Spain Description: Lemon is used as a flavor in food and drinks and has a very tart and sour taste.
Lime,Lime,Lime Class 1,Country: Brazil Description: The lime fruit; like lemon; has sour taste; with the difference that the lime is more juicy and flavorsome than the lemon. It is mainly the juice you use but also the shell can be used.
Mango,Mango,Mango Class 1,Country: Mexico Description: Mango has a fresh; powerful and sweet taste; but a special exotic shade. Inside there is a large; oval kernel in which the pulp is grown in. This makes the best way to cut mango is with the shell on. Divide the fruit by cutting along on both sides of the core. Mango can be eaten naturally or in desserts; entrees and main courses.
Cantaloupe,Melon,Melon Cantaloupe Class 1,Country and volume: Spain; ca 1.05kg Description: The cantaloupe melon is a rather small and all round sugar melon; with a greenish yellow mesh patterned shell. The pulp is orange colored with juicy and sweet taste.
Galia-Melon,Melon,Galia melon Class 1,Country and volume: Spain; ca 1.01kg Description: Galia melon is a small round sugar melon with a yellowish green; orange; or light brown mesh patterned shell. The pulp is firm and juicy; with a cream white to yellowish green color and a sweet; rich flavor.
Honeydew-Melon,Melon,Honeydew melon Class 1,Country and volume: Spain; ca 1.2kg Description: Honeydew melon is an oval shaped sugarmelon; with a yellow shell. The pulp is creamy light yellow with juicy; sweet and fresh taste; which is milder than other melons.
Watermelon,Melon,Water melon Class 1,Country and volume: Spain; ca 3kg Description: Water melon juicier than sugar melons; and has a round peel with light green base color; with long-tied dark green stripes. The pulp is very juicy; mild and sweet; and occurs with and without kernels.
Nectarine,Nectarine,Nectarine Class 1,Country and volume: Italy; ca 175g Description: The nectarine is a stone fruit with plain peel and yellow or orange pulp; which is somewhat firmer than the peach. Nectarine is suitable for eating naturally but can also be used for pastry; marmalade and jam.
Orange,Orange,Orange Class 1,Country and volume: Spain; ca 280g Description: There are many different types of oranges that ripen and is sold during different parts of the year. The orange is a very important vitamin C source and the vitamins are best kept if the fruit is eaten naturally.
Papaya,Papaya,Papaya Class 1,Country: Ecuador Description: Papayan has a salmon-pink pulp that is buttery in the texture. The fruit is rich in vitamin A and C.
